
 
"Bazin de Gilbert,Adrienne,	, ,04.81.38.58.77,adrienne.bazin-de-gilbert@server.fr,barman"
"Bertin,Guy,	,04.95.43.11.26,guy.bertin@server.fr,barman,"
"Bonneau,Aimee,	,05.14.98.82.95,aimee.bonneau@server.fr,cuisinier,"
"Da Costa du Normand,Agathe,	,04.60.89.62.87,agathe.da-costa-du-normand@server.fr,avocat,"
"Delahaye,Benoit,	,01.63.20.35.40,benoit.delahaye@server.fr,chercheur,"
"Etienne-Techer,Noemi,	,04.33.68.87.28,noemi.etienne-techer@server.fr,barman,"
"Lambert,Benoit,	,04.61.87.21.94,benoit.lambert@server.fr,chef d'entreprise,"
"Lebrun,Camille-Jeanne,	,04.56.53.65.09,camille-jeanne.lebrun@server.fr,ouvrier,"
"Lefort,Claire,	,04.95.89.47.66,claire.lefort@server.fr,barman,"
"Legros,Marie,	,01.99.40.70.72,marie.legros@server.fr,,"
"Peron,Patricia,	,04.86.97.61.33,patricia.peron@server.fr,,"
"Pottier Le Lefevre,Oceane,	,04.27.21.11.91,oceane.pottier-le-lefevre@server.fr,,"
"de la Albert,Corinne,	,04.79.41.89.18,corinne.de-la-albert@server.fr,banquier,"
"de la Nicolas,Sylvie,	,01.27.51.96.82,sylvie.de-la-nicolas@server.fr,medecin,"
------------------------------------------------------------------
Adam,Christophe,33100,BORDEAUX,05.89.11.13.05,christophe.adam@server.fr,chef d'entreprise
Alexandre de Rossi,31200,TOULOUSE,05.26.31.69.69,anne.alexandre-de-rossi@server.fr,,
Allain,44000,NANTES,02.95.40.33.81,alice.allain@server.fr,enseignant,
Allain,Alex,69009,LYON,04.44.61.44.48,alex.allain@server.fr,banquier
Allain,Josette,04.27.43.46.44,josette.allain@server.fr,,,
Allard,Alain,31000,TOULOUSE,05.52.67.46.27,alain.allard@server.fr,chercheur
Alves,Anais-Gabrielle,69410,CHAMPAGNE-AU-MONT-D'OR,04.16.05.05.90,anais-gabrielle.alves@server.fr,militaire
Andre,Emmanuelle,13011,MARSEILLE,04.51.77.86.41,emmanuelle.andre@server.fr,
Andre-Gerard,Antoine,34070,MONTPELLIER,04.28.86.50.02,antoine.andre-gerard@server.fr,
Antoine, ,75003,PARIS,01.85.29.43.35,adrienne.antoine@server.fr,medecin
Antoine,Alexandrie,75002,PARIS,01.75.88.57.29,alexandrie.antoine@server.fr,medecin
Antoine,Alfred,05.97.93.07.96,alfred.antoine@server.fr,,,
Antoine,Alphonse,6200,NICE,04.06.48.44.74,alphonse.antoine@server.fr,architecte
Antoine,Guillaume,13008,MARSEILLE,04.50.19.32.99,guillaume.antoine@server.fr,
Arnaud de Joubert,75017,PARIS,01.33.65.70.11,julien.arnaud-de-joubert@server.fr,banquier,
Arnaud,Luc,01.39.92.15.27,luc.arnaud@server.fr,,,
Aubert,01.13.38.06.40,denise.aubert@server.fr,chef d'entreprise,,,
Aubert,13001,MARSEILLE,04.84.66.96.69,anne.aubert@server.fr,journaliste,
Aubert,Eugene,34000,MONTPELLIER,04.47.15.57.16,eugene.aubert@server.fr,informaticien
Aubry Le Huet,Adrien,02.54.50.51.41,adrien.aubry-le-huet@server.fr,banquier,,
Aubry,Alfred,6200,NICE,04.09.59.21.48,alfred.aubry@server.fr,
Aubry,Benjamin,75020,PARIS,01.85.04.60.89,benjamin.aubry@server.fr,cuisinier
Aubry,Elodie,34000,MONTPELLIER,04.92.70.76.24,elodie.aubry@server.fr,medecin
Aubry,Emmanuelle,75006,PARIS,01.26.34.58.25,emmanuelle.aubry@server.fr,avocat
Auger-Labbe,Emmanuel,13004,MARSEILLE,04.45.86.07.76,emmanuel.auger-labbe@server.fr,chercheur
